OfferedLoad,TopologyNumber,nSta,RngRun,Distance,PayloadSize,SourceIP,DestinationIP,Throughput,Delay,RtsCts
200,D,1,1,8,1472,192.168.4.2,192.168.4.1,57.3214,1.86574,0
200,C,1,2,8,1472,192.168.3.2,192.168.3.1,33.9555,2.88054,0
200,B,1,2,8,1472,192.168.2.2,192.168.2.1,15.7418,4.98128,0
200,D,1,2,8,1472,192.168.4.2,192.168.4.1,56.7098,1.88745,0
200,A,1,2,8,1472,192.168.1.2,192.168.1.1,63.3873,1.71916,0
200,C,1,3,8,1472,192.168.3.2,192.168.3.1,34.4456,2.84914,0
200,A,1,3,8,1472,192.168.1.2,192.168.1.1,63.2999,1.71886,0
200,B,1,3,8,1472,192.168.2.2,192.168.2.1,15.3008,5.0553,0
200,D,1,3,8,1472,192.168.4.2,192.168.4.1,58.0392,1.85272,0
200,D,1,4,8,1472,192.168.4.2,192.168.4.1,57.2986,1.87414,0
200,B,1,4,8,1472,192.168.2.2,192.168.2.1,15.7787,4.98556,0
200,A,1,4,8,1472,192.168.1.2,192.168.1.1,63.905,1.69772,0
200,C,1,4,8,1472,192.168.3.2,192.168.3.1,34.8866,2.82644,0
200,A,1,1,10,1472,192.168.1.2,192.168.1.1,29.6526,3.24433,0
200,C,1,1,10,1472,192.168.3.2,192.168.3.1,8.82726,5.75305,0
200,B,1,1,10,1472,192.168.2.2,192.168.2.1,3.73108,5.9225,0
200,D,1,1,10,1472,192.168.4.2,192.168.4.1,26.02,3.55008,0
200,C,1,2,10,1472,192.168.3.2,192.168.3.1,8.87167,5.71861,0
200,B,1,2,10,1472,192.168.2.2,192.168.2.1,4.17691,6.00672,0
200,D,1,2,10,1472,192.168.4.2,192.168.4.1,25.4258,3.61326,0
200,A,1,2,10,1472,192.168.1.2,192.168.1.1,29.965,3.20239,0
200,C,1,3,10,1472,192.168.3.2,192.168.3.1,8.2256,5.704,0
200,A,1,3,10,1472,192.168.1.2,192.168.1.1,30.554,3.14471,0
200,B,1,3,10,1472,192.168.2.2,192.168.2.1,4.10076,5.94988,0
200,D,1,3,10,1472,192.168.4.2,192.168.4.1,24.9786,3.66971,0
200,D,1,4,10,1472,192.168.4.2,192.168.4.1,25.9186,3.56552,0
200,B,1,4,10,1472,192.168.2.2,192.168.2.1,3.94375,6.05127,0
200,A,1,4,10,1472,192.168.1.2,192.168.1.1,30.9231,3.12753,0
200,C,1,4,10,1472,192.168.3.2,192.168.3.1,8.4319,5.82226,0
200,A,1,1,15,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,1,15,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,B,1,1,15,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,1,15,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,C,1,2,15,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,B,1,2,15,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,2,15,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,A,1,2,15,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,3,15,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,A,1,3,15,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,B,1,3,15,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,3,15,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,D,1,4,15,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,B,1,4,15,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,A,1,4,15,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,4,15,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,A,1,1,20,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,1,20,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,B,1,1,20,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,1,20,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,C,1,2,20,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,B,1,2,20,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,2,20,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,A,1,2,20,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,3,20,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,A,1,3,20,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,B,1,3,20,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,3,20,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,D,1,4,20,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,B,1,4,20,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,A,1,4,20,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,4,20,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,A,1,1,30,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,1,30,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,B,1,1,30,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,1,30,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,C,1,2,30,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,B,1,2,30,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,2,30,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,A,1,2,30,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,3,30,1472,192.168.3.2,192.168.3.1,-0,-nan,0
200,A,1,3,30,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,B,1,3,30,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,D,1,3,30,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,D,1,4,30,1472,192.168.4.2,192.168.4.1,-0,-nan,0
200,B,1,4,30,1472,192.168.2.2,192.168.2.1,-0,-nan,0
200,A,1,4,30,1472,192.168.1.2,192.168.1.1,-0,-nan,0
200,C,1,4,30,1472,192.168.3.2,192.168.3.1,-0,-nan,0
