OfferedLoad,TopologyNumber,nSta,RngRun,Distance,PayloadSize,SourceIP,DestinationIP,Throughput,Delay,RtsCts
200,D,1,1,8,1472,192.168.4.2,192.168.4.1,54.0326,1.96557,1
200,C,1,2,8,1472,192.168.3.2,192.168.3.1,32.0466,2.9664,1
200,B,1,2,8,1472,192.168.2.2,192.168.2.1,12.2493,5.70661,1
200,D,1,2,8,1472,192.168.4.2,192.168.4.1,55.0791,1.93645,1
200,A,1,2,8,1472,192.168.1.2,192.168.1.1,61.0485,1.77142,1
200,C,1,3,8,1472,192.168.3.2,192.168.3.1,31.7839,2.98011,1
200,A,1,3,8,1472,192.168.1.2,192.168.1.1,61.9242,1.75018,1
200,B,1,3,8,1472,192.168.2.2,192.168.2.1,12.3001,5.68004,1
200,D,1,3,8,1472,192.168.4.2,192.168.4.1,53.5062,1.9814,1
200,D,1,4,8,1472,192.168.4.2,192.168.4.1,53.8644,1.97848,1
200,B,1,4,8,1472,192.168.2.2,192.168.2.1,12.3074,5.68276,1
200,A,1,4,8,1472,192.168.1.2,192.168.1.1,58.1238,1.76972,1
200,C,1,4,8,1472,192.168.3.2,192.168.3.1,31.2038,3.02048,1
200,A,1,1,10,1472,192.168.1.2,192.168.1.1,28.1857,3.21699,1
200,C,1,1,10,1472,192.168.3.2,192.168.3.1,11.7258,4.91901,1
200,B,1,1,10,1472,192.168.2.2,192.168.2.1,4.7111,5.88788,1
200,D,1,1,10,1472,192.168.4.2,192.168.4.1,24.9966,3.62721,1
200,C,1,2,10,1472,192.168.3.2,192.168.3.1,11.771,4.88118,1
200,B,1,2,10,1472,192.168.2.2,192.168.2.1,4.69685,5.87452,1
200,D,1,2,10,1472,192.168.4.2,192.168.4.1,24.4145,3.72037,1
200,A,1,2,10,1472,192.168.1.2,192.168.1.1,27.5042,3.28729,1
200,C,1,3,10,1472,192.168.3.2,192.168.3.1,11.4472,4.91536,1
200,A,1,3,10,1472,192.168.1.2,192.168.1.1,29.7218,3.17274,1
200,B,1,3,10,1472,192.168.2.2,192.168.2.1,4.64754,5.87689,1
200,D,1,3,10,1472,192.168.4.2,192.168.4.1,24.1129,3.74494,1
200,D,1,4,10,1472,192.168.4.2,192.168.4.1,23.6303,3.68,1
200,B,1,4,10,1472,192.168.2.2,192.168.2.1,4.71072,5.87602,1
200,A,1,4,10,1472,192.168.1.2,192.168.1.1,28.6915,3.30246,1
200,C,1,4,10,1472,192.168.3.2,192.168.3.1,11.0171,4.88404,1
200,A,1,1,15,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,1,15,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,B,1,1,15,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,1,15,1472,192.168.4.2,192.168.4.1,-0,-nan,1
